Ingenuity Canonical Pathways,nlogp,Ratio,z-score,combined,Molecules
Apelin Cardiac Fibroblast Signaling Pathway,2.61,0.348,-0.707,-1.84527,"AKT1,APLN,CCN2,PRKAB2,SERPINE1,SPHK1,TGFB1,TGFB3"
Amyotrophic Lateral Sclerosis Signaling,1.23,0.162,-1.5,-1.845,"BIRC2,CACNA1F,CACNA2D2,CACNG7,CAPN10,CAPNS1,CASP3,CASP7,GRIK4,GRIN2D,HECW1,PAK1,PDGFC,PIK3C2B,PIK3R1,PIK3R3,PPP3CA,RNF19A,TP53"
ABC-family proteins mediated transport,0.769,0.146,-2.324,-1.787156,"ABCA10,ABCA2,ABCA3,ABCA5,ABCB8,ABCC5,OS9,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4"
Glucose metabolism,2.59,0.221,-0.688,-1.78192,"ENO2,GCKR,NDC1,NUP160,NUP188,NUP214,NUP42,NUP50,NUP62,NUP93,PC,PFKFB3,PGAM1,PKM,PPP2R1B,PPP2R5D,PRKACB,SLC37A2,TPI1"
NIK-->noncanonical NF-kB signaling,1.18,0.183,-1.508,-1.77944,"MAP3K14,NFKB2,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,RELB"
Metabolism of polyamines,0.935,0.169,-1.897,-1.773695,"AMD1,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,SAT1"
Dermatan Sulfate Biosynthesis,1.53,0.192,-1.155,-1.76715,"B3GALT6,CHPF,CHPF2,CHST15,CHST2,CHST4,CSGALNACT1,CSGALNACT2,DSE,HS3ST1,HS6ST1,NDST1,NDST3,XYLT2"
Myogenesis,1.44,0.241,-1.134,-1.63296,"BOC,CDON,CTNNA1,CTNNB1,MAP2K6,NEO1,TCF3"
PTEN Signaling,3.96,0.219,-0.408,-1.61568,"AKT1,BMPR1A,CASP3,CBL,CCND1,CDKN1A,EGFR,IGF2R,IKBKE,INPP5F,INPP5K,INPPL1,ITGAE,ITGB3,ITGB6,ITGB8,KDR,MAP2K1,MAST2,NFKB2,NGFR,PDGFRB,PIK3R1,PIK3R3,PTK2,RAP1A,RASD1,RELA,RELB,RRAS,SOS1,SYNJ1,TGFBR3"
Ovarian Cancer Signaling,6.26,0.252,-0.258,-1.61508,"AKT1,APC,ARRB1,AXIN1,BRAF,CCND1,CDK4,CTNNB1,DVL1,E2F3,E2F6,E2F7,EDN1,EGFR,FZD1,FZD2,FZD5,HDAC1,HDAC5,HDAC7,HDAC9,LEF1,MAP2K1,MLH1,MSH2,PDGFC,PIK3C2B,PIK3R1,PIK3R3,PRKACB,RAP1A,RASD1,RB1,RBL1,RBL2,RRAS,TCF3,TFDP1,TP53,WNT2B"
Signaling by ROBO receptors,1.27,0.146,-1.213,-1.54051,"CASC3,COL4A5,DAG1,ENAH,GPC1,MT-RNR2,MYO9B,NCBP1,NCBP2,PAK1,PRKACB,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,RNPS1,ROBO3,RPL13A,RPL14,RPL18A,RPL28,RPL3,RPL39L,RPL4,RPL5,RPS16,RPS19,SLIT2,SOS1,SRGAP1,SRGAP3,UPF3B"
UFMylation Signaling Pathway,1.31,0.188,-1.155,-1.51305,"AKT1,ASCC1,CCND1,CDK5RAP3,ELP6,ERN1,IL1B,MYC,NBN,NFKB2,TLR4,TP53"
Telomere Maintenance,1.17,0.169,-1.291,-1.51047,"DSCC1,FEN1,H2AC6,POLA1,POLA2,POLD4,POLR2C,POLR2L,PPP6C,RFC2,RFC3,RPA3,RUVBL2,TERF1,TERF2IP"
Apelin Liver Signaling Pathway,0.753,0.2,-2,-1.506,"APLN,COL1A2,EDN1,PDGFRB"
Sumoylation Pathway,1.81,0.188,-0.832,-1.50592,"ETS1,HDAC1,NFKB2,NFKBIA,RAN,RFC2,RFC3,RHOBTB1,RHOBTB2,RHOC,RHOJ,RHOT1,RND3,SENP7,SMAD4,SUMO3,TP53,UBA2,ZNF217"
Regulation of Apoptosis,0.884,0.17,-1.667,-1.473628,"ARHGAP10,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4"
HDR through MMEJ (alt-NHEJ),1.44,0.333,-1,-1.44,"FEN1,NBN,POLQ,XRCC1"
Regulation of RUNX2 expression and activity,0.759,0.153,-1.897,-1.439823,"BMP2,HIVEP3,PPARGC1A,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4"
Signaling by NOTCH4,1.37,0.162,-1.043,-1.42891,"AKT1,KAT2B,NME1,NME7,NOTCH1,NOTCH2,PIK3C2B,PIK3R1,PIK3R3,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,SPHK1,SPHK2,SRPK3,STK10,STK3,STK32C,STK39"
Sleep NREM Signaling Pathway,0.836,0.147,-1.698,-1.419528,"ADCY6,ADCY7,ADORA2B,ADRB2,BRAF,CREB3L2,EGFR,GABRR2,GNAI1,HDAC5,MAP2K1,MAP2K6,MAP2K7,PRKACB,RAP1A,RASD1,RRAS"
Centrosomal KIAA0586 Signaling Pathway,1.02,0.152,-1.342,-1.36884,"CEP120,CEP290,CSPG4,FGF5,MAPK13,MIB1,PIK3C2B,PIK3R1,PIK3R3,PKD2,PRKACB,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,SHH"
Inhibition of Matrix Metalloproteases,1.67,0.237,-0.816,-1.36272,"LRP1,MMP1,MMP10,MMP16,SDC2,TIMP1,TIMP2,TIMP3,TIMP4"
ESR-mediated signaling,1.97,0.186,-0.688,-1.35536,"AGO2,AGO4,AXIN1,CARM1,CCND1,CTSD,CXXC5,EBAG9,ESR2,FKBP5,GATA3,H2AC6,HDAC1,KAT2B,KCTD6,MYC,NRIP1,POLR2C,POLR2L,SMC1A,TBP,ZNF217"
Antioxidant Action of Vitamin C,1.47,0.171,-0.905,-1.33035,"GLRX,GSTO1,IKBKE,MAPK13,NFKB2,NFKBIA,PLAAT4,PLAAT5,PLCB3,PLCD3,PLD2,PLD3,PNPLA2,RELA,RELB,SLC2A1,STAT5A,STAT5B,TXNRD1,TXNRD3"
LXR/RXR Activation,1.07,0.154,-1.213,-1.29791,"APOE,APOL1,ARG2,CCL2,CD14,IL1A,IL1B,IL1RAPL1,IRF3,LDLR,NFKB2,NGFR,PCYOX1,RELA,RELB,SREBF1,TLR3,TLR4,TNFRSF11B,TNFRSF1B"
Estrogen Biosynthesis,1.14,0.191,-1.134,-1.29276,"AKR1C3,CYP1B1,CYP2E1,CYP2S1,CYP2U1,CYP4X1,HSD17B10,HSD17B12,HSD17B7"
Formation of paraxial mesoderm,1.53,0.273,-0.816,-1.24848,"BMP4,CTNNB1,KAT2B,LEF1,NOG,NOTCH1"
DNA damage-induced 14-3-3σ Signaling,1.97,0.239,-0.632,-1.24504,"AKT1,CASP2,CASP3,CASP4,CASP6,CASP7,CASP8,CCNB3,CCNE2,CDKN1A,TP53"
SUMOylation of chromatin organization proteins,1.03,0.169,-1.155,-1.18965,"CHD3,HDAC1,L3MBTL2,NDC1,NUP160,NUP188,NUP214,NUP42,NUP50,NUP62,NUP93,SUMO3"
IL-27 Signaling Pathway,3.12,0.209,-0.378,-1.17936,"AKT1,BECN1,C5,CD274,GATA3,HLA-B,IFNAR1,IL1RAPL1,IRF3,JAK3,MAPK13,NFKB2,NGFR,PIK3C2B,PIK3R1,PIK3R3,PPARGC1A,RELA,RELB,TLR1,TLR3,TLR4,TLR6,TLR7,TNFRSF11B,TNFRSF1B,TNFSF9,ULK1"
Protein Kinase A Signaling,4.19,0.177,-0.277,-1.16063,"ADCY6,ADCY7,ADD1,ADD3,AKAP11,AKAP12,AKAP6,ANAPC1,ANAPC11,ANAPC4,BRAF,CHP1,CREB3L2,CTNNB1,DUSP12,DUSP2,DUSP5,EPM2A,FLNB,FLNC,GDE1,GNAI1,GNB1,GNG11,H1-10,KDELR3,LEF1,MAP2K1,MAP3K1,MTMR3,MYL12A,MYL12B,NFKB2,NFKBIA,NGFR,PALM2AKAP2,PDE10A,PDE2A,PDE4A,PDE4B,PDE7B,PDE8B,PDE9A,PLCB3,PLCD3,PPP3CA,PPP3CC,PRKACB,PRKCD,PRKCI,PTK2,PTPDC1,PTPN1,PTPN2,PTPN3,PTPRB,PTPRF,PTPRM,PTPRS,PYGB,PYGL,RAP1A,RELA,RELB,SHH,SMAD4,TCF3,TGFB1,TGFB3,UBASH3B"
Heparan Sulfate Biosynthesis,0.818,0.149,-1.387,-1.134566,"AARS1,B3GALT6,CHST15,CHST2,CHST4,EXT1,EXTL2,GLCE,HS3ST1,HS6ST1,LARS1,NDST1,NDST3,TARS2,XYLT2"
Chondroitin Sulfate Biosynthesis (Late Stages),0.798,0.159,-1.414,-1.128372,"CHPF,CHST15,CHST2,CHST4,CSGALNACT1,CSGALNACT2,HS3ST1,HS6ST1,NDST1,NDST3"
Tumoricidal Function of Hepatic Natural Killer Cells,2.47,0.333,-0.447,-1.10409,"CASP3,CASP6,CASP7,CASP8,ICAM1,M6PR,SERPINB9,SRGN"
ATM Signaling,1.3,0.17,-0.832,-1.0816,"CCNB3,CDKN1A,CREB3L2,GADD45A,MAPK13,NBN,NFKBIA,PPM1D,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,SMC1A,SMC2,TOPBP1,TP53"
Metabolism of cofactors,1.28,0.24,-0.816,-1.04448,"AKT1,COQ9,DHFR,IDH1,PDSS1,PTS"
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses,2.2,0.182,-0.471,-1.0362,"C5,IFIH1,IL1A,IL1B,IRF3,NFKB2,OAS1,OAS2,OAS3,PIK3C2B,PIK3R1,PIK3R3,PRKCD,PRKCI,RELA,RELB,RIPK2,TGFB1,TGFB3,TICAM1,TLR1,TLR3,TLR4,TLR6,TLR7,TNFSF12,TNFSF15,TNFSF9"
Triglyceride metabolism,0.906,0.184,-1.134,-1.027404,"CAV1,DGAT2,FABP5,GPD2,LPIN1,MGLL,PRKACB"
Regulation of mitotic cell cycle,0.563,0.136,-1.732,-0.975116,"ANAPC1,ANAPC11,ANAPC4,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,RB1"
TNFR2 non-canonical NF-kB pathway,1.78,0.206,-0.535,-0.9523,"BIRC2,MAP3K14,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,TNFRSF1B,TNFSF12,TRAF2,TRAF3"
Heme signaling,1.5,0.213,-0.632,-0.948,"BACH1,CARM1,CRTC2,CRTC3,HELZ2,NR1D1,NRIP1,PPARA,PPARGC1A,TLR4"
BBSome Signaling Pathway,0.455,0.118,-2.06,-0.9373,"ACKR3,ADGRD1,ADGRF4,ADGRG6,ADGRV1,ADORA2B,ADRA1B,ADRB2,ARL6,BBS12,BDNF,CBX7,CCR3,CCRL2,CCT2,CELSR3,CEP290,DVL1,DVL3,ERN1,FFAR4,FPR1,FZD1,FZD2,FZD5,GIPR,GLI1,GPER1,GPR132,GPR17,GPR176,GPR180,GPR39,GPR78,HCAR1,IFT22,IFT25,IFT46,IFT52,IFT56,IFT57,IFT70A,IFT70B,IFT80,LGR5,LZTFL1,MAPK13,NPY1R,P2RY11,P2RY2,PCGF1,PRKACB,PRKCD,PTGER4,PTGFR,S1PR2,SSTR2,ZNF875"
Meiotic recombination,0.493,0.14,-1.89,-0.93177,"CDK4,FIGNL1,H2AC6,MLH1,NBN,RAD51C,RPA3"
Heparan Sulfate Biosynthesis (Late Stages),0.609,0.138,-1.508,-0.918372,"AARS1,CHST15,CHST2,CHST4,EXT1,EXTL2,GLCE,HS3ST1,HS6ST1,LARS1,NDST1,NDST3,TARS2"
Resolution of Abasic Sites (AP sites),1.26,0.211,-0.707,-0.89082,"FEN1,POLB,POLD4,POLE2,RFC2,RFC3,RPA3,XRCC1"
SUMOylation of immune response proteins,1.99,0.385,-0.447,-0.88953,"IKBKE,NFKB2,NFKBIA,RELA,SUMO3"
TNFR2 Signaling,2.62,0.303,-0.333,-0.87246,"BIRC2,IKBKE,MAP3K1,MAP3K14,NFKB2,NFKBIA,RELA,RELB,TNFRSF1B,TRAF2"
RHO GTPases Activate Formins,2.21,0.186,-0.392,-0.86632,"CENPH,CENPI,CENPL,CENPM,CENPO,CENPT,DVL1,DVL3,DYNC1I1,DYNC1LI1,ERCC6L,FMNL2,FMNL3,MAPRE1,NDEL1,NUP160,PPP2R1B,PPP2R5A,PPP2R5D,RHOC,SCAI,SKA2,SRF,TUBA1A,ZW10,ZWINT"
Dermatan Sulfate Biosynthesis (Late Stages),0.454,0.133,-1.89,-0.85806,"CHST15,CHST2,CHST4,DSE,HS3ST1,HS6ST1,NDST1,NDST3"
NAFLD Signaling Pathway,5.93,0.223,-0.143,-0.84799,"ACACB,AKT1,BBC3,CASP3,CASP6,CASP7,CASP8,DDIT3,EIF2A,EPM2A,ERN1,IKBKE,IL1A,IL1B,JAK3,LPIN1,NFKB2,NGFR,PIK3C2B,PIK3R1,PIK3R3,PNPLA2,PPARA,PPARGC1A,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,PRKAB2,SCD,SOCS2,SOCS4,SOCS7,SREBF1,TBC1D1,TGFB1,TGFB3,TLR1,TLR3,TLR4,TLR6,TLR7,TNFRSF11B,TNFRSF1B,TNFSF12,TNFSF15,TNFSF9,TRAF2,ULK1"
Endocannabinoid Developing Neuron Pathway,1.85,0.18,-0.447,-0.82695,"ADCY6,ADCY7,AKT1,BRAF,CCND1,CREB3L2,CTNNB1,GNAI1,GNB1,GNG11,MAP2K1,MAP2K6,MAP2K7,MAPK13,MAPK7,MGLL,PIK3C2B,PIK3R1,PIK3R3,PRKACB,RAP1A,RASD1,RRAS"
Macrophage Alternative Activation Signaling Pathway,1.08,0.146,-0.756,-0.81648,"ADORA2B,CREB3L2,CSF1R,EIF4EBP1,FPR1,IL1A,IL1B,JAK3,KDM6B,MAPK13,MYC,NFKB2,NFKBIA,PIK3C2B,PIK3R1,PIK3R3,PPARD,PPARG,PPARGC1A,RELA,RELB,SCARB1,SREBF1,STAT6,TGFB1,TGFB3,TLR4,ZC3H12A"
VDR/RXR Activation,0.432,0.128,-1.89,-0.81648,"CD14,CDKN1A,CYP24A1,GADD45A,PDGFA,PPARD,PRKCD,PRKCI,THBD,VDR"
Metabolism of water-soluble vitamins and cofactors,3.71,0.256,-0.218,-0.80878,"AASDHPPT,ACACB,AMN,BTD,COASY,CUBN,DCAKD,GSTO1,MMACHC,MOCOS,MOCS3,NFS1,PANK2,PC,PCCA,PPCDC,PRSS3,SLC19A2,SLC25A42,SLC2A1,TCN2"
Regulation of TP53 Activity through Phosphorylation,1.04,0.161,-0.775,-0.806,"ATRIP,CDK5,DYRK2,HIPK2,MAPKAPK5,NBN,PRKAB2,RFC2,RFC3,RPA3,TAF2,TAF4B,TBP,TOPBP1,TP53"
Cytosolic sensors of pathogen-associated DNA,3.31,0.266,-0.243,-0.80433,"CTNNB1,DHX9,IRF3,NFKB2,NFKBIA,POLR1D,POLR2L,POLR3B,POLR3D,POLR3G,POLR3GL,POLR3H,RELA,STAT6,TICAM1,TLR3,TRIM21"
Interferon gamma signaling,1.65,0.184,-0.471,-0.77715,"HLA-B,ICAM1,IRF3,MID1,MT2A,OAS1,OAS2,OAS3,OASL,PRKCD,PTPN1,PTPN2,TRIM2,TRIM21,TRIM22,TRIM29,TRIM45,TRIM62"
Mitochondrial translation,0.723,0.144,-1.069,-0.772887,"GFM1,MRPL1,MRPL10,MRPL2,MRPL20,MRPL35,MRPS10,MRPS11,MRPS17,MRPS18C,MRPS31,MRPS6,MRPS7,MT-RNR2"
Retinoid metabolism and transport,0.669,0.159,-1.134,-0.758646,"AKR1C3,APOE,GPC1,LDLR,LRP1,SDC2,SDC3"
Hedgehog 'off' state,0.884,0.149,-0.832,-0.735488,"ADCY6,ADCY7,DYNC2H1,GLI1,IFT52,IFT57,NUMB,PRKACB,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,TUBA1A"
Pathogen Induced Cytokine Storm Signaling Pathway,1,0.134,-0.729,-0.729,"C5,CASP3,CASP7,CASP8,CCL2,CCL28,CCR3,COL16A1,COL1A2,COL20A1,COL4A1,COL4A2,COL4A5,COL6A1,COL6A2,COL6A3,COL8A1,CXCL11,CXCL2,GSDME,IFIH1,IFNAR1,IL1A,IL1B,IL1RAPL1,IRF3,MAPK13,MAPK7,MLKL,MYC,NFKB2,NGFR,NLRP1,PDGFC,SLC2A1,SRGN,STAT5A,STAT5B,TGFB1,TGFB3,TICAM1,TLR1,TLR3,TLR4,TLR6,TLR7,TNFRSF11B,TNFRSF1B,TNFSF12,TNFSF15,TNFSF9"
Cilia Biogenesis Signaling Pathway,1.34,0.152,-0.539,-0.72226,"ANAPC1,ANAPC11,ANAPC4,ARL13B,CBY1,CDK5,CEP120,CEP135,CEP290,CEP63,DNAH1,DYRK3,EHD1,GNAI1,GNB1,GNG11,GPSM1,MAPK13,MAPKAPK2,MARK4,MIB1,NFKB2,PKD2,STIL,TGFB1,TTBK2,TUBA1A,TUBG1,TUBG2,TUBGCP4,TXLNG"
Bile acid and bile salt metabolism,0.636,0.156,-1.134,-0.721224,"AKR1C3,CYP39A1,OSBPL2,OSBPL3,OSBPL6,SCP2,SLC51A"
Transcriptional regulation of white adipocyte differentiation,0.857,0.155,-0.832,-0.713024,"CARM1,CCND3,CDK4,HELZ2,MED11,MED24,MED7,PPARA,PPARG,PPARGC1A,RELA,SREBF1,TGFB1"
Caspase activation via Death Receptors in the presence of ligand,1.58,0.312,-0.447,-0.70626,"CASP8,CD14,TICAM1,TLR4,TRAF2"
BAG2 Signaling Pathway,2.22,0.209,-0.302,-0.67044,"CASP3,CDKN1A,HSPA5,MAPKAPK2,MYC,NFKB2,PINK1,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,RELA,RELB,TP53"
Mitotic Roles of Polo-Like Kinase,1.49,0.194,-0.447,-0.66603,"ANAPC1,ANAPC11,ANAPC4,CCNB3,CDC7,HSP90B1,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,SMC1A,TGFB1"
Neutrophil Extracellular Trap Signaling Pathway,1.63,0.144,-0.397,-0.64711,"AKT1,ARG2,C5,CASP2,CASP3,CASP4,CASP6,CASP7,CASP8,CD14,CHP1,COL16A1,COL1A2,COL20A1,COL4A1,COL4A2,COL4A5,COL6A1,COL6A2,COL6A3,COL8A1,CYBB,CYC1,FPR1,FRK,FYN,IFNAR1,IL1B,MAP2K1,MAP2K6,MAP2K7,MAPK13,MLKL,NDUFA10,NFKB2,PIK3C2B,PIK3R1,PIK3R3,PLAAT4,PLAAT5,PLCB3,PLCD3,PNPLA2,PPIF,PPP3CA,PPP3CC,PRKCD,PRKCI,SDHA,SELPLG,SLC2A1,TIMM10,TIMM13,TIMM44,TLR4,TLR7,TOMM34,TOMM40L,YES1"
Protein folding,0.372,0.121,-1.732,-0.644304,"CCNE2,CCT2,FBXL3,GNB1,GNG11,NOP56,PDCL,PFDN2,SPHK1,TBCC,TP53,TUBA1A"
NAP1L1 Transcription Regulation Signaling Pathway,2.79,0.225,-0.229,-0.63891,"AKT1,BIRC2,CCND1,CDK4,CDKN1A,CTNNB1,ETS1,MYC,NFKB2,NFKBIA,PIK3C2B,PIK3R1,PIK3R3,RASSF10,SCARB1,TP53,TUBA1A,TUBG1,TUBG2,UBR4"
Mitochondrial Dysfunction,1.07,0.136,-0.59,-0.6313,"ARG2,ATP1A1,ATP1B1,ATP1B3,BBC3,BECN1,C9orf72,CACNA1F,CACNA2D2,CACNG7,CAPN10,CAPNS1,CASP3,CATSPER3,CHP1,CLIC2,COX7B,CREB3L2,CYB5B,CYC1,GPD2,HSD17B10,IDH2,MAP2K7,MAPK7,MGST1,MGST2,NDUFA10,PIK3C2B,PIK3R1,PIK3R3,PINK1,PPARG,PPARGC1A,PPIF,PPP3CA,PPP3CC,PRKAB2,PRKACB,PTGES,RAPGEF3,RHOT1,SDHA,TFAM,TOMM34,TP53,UQCRB"
Mitotic Prophase,3.02,0.221,-0.209,-0.63118,"ENSA,GOLGA2,GORASP1,GORASP2,H2AC6,LEMD2,LPIN1,NCAPH2,NDC1,NEK7,NUP160,NUP188,NUP214,NUP42,NUP50,NUP62,NUP93,PHF8,PPP2R1B,PPP2R2D,RB1,SMC2,VRK2"
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway,4.07,0.196,-0.152,-0.61864,"ACVR2B,AKT1,APC,AXIN1,BMP2,BMP4,BMPR1A,CSNK1D,CSNK1E,CTNNB1,CTSA,CTSD,CTSS,DVL1,FRZB,FZD1,FZD2,FZD5,IGF2R,IL1A,IL1B,JAK3,LEF1,LRP1,MMP1,MMP10,MMP16,PDGFC,PIK3C2B,PIK3R1,PIK3R3,SFRP1,SMAD4,SMAD6,SMURF2,SOST,STAT5A,STAT5B,STAT6,TCF3,TGFB1,TGFB3,TNFRSF11B,TNFSF12,TNFSF15,TNFSF9,WNT2B"
SPINK1 General Cancer Pathway,2.21,0.224,-0.277,-0.61217,"AKT1,EGFR,JAK3,MAP2K1,MT1A,MT1E,MT1X,MT2A,PIK3C2B,PIK3R1,PIK3R3,PRSS3,RAP1A,RASD1,RRAS"
Inflammasome pathway,1.36,0.25,-0.447,-0.60792,"CASP8,IL1B,NEK7,NFKB2,NLRP1,TLR4"
Syndecan interactions,1.6,0.259,-0.378,-0.6048,"ACTN1,COL1A2,ITGB3,SDC2,SDC3,TGFB1,TNC"
Azathioprine ADME,0.602,0.174,-1,-0.602,"ABCC5,IMPDH1,NME1,XDH"
Apelin Cardiomyocyte Signaling Pathway,2.52,0.21,-0.229,-0.57708,"AKT1,APLN,ARNT,ATP2A1,GNAI1,MAPK13,MAPK7,MYL12A,MYL12B,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PLCD3,PRKCD,PRKCI,SLC9A1,SLC9A5,SLC9A6,SLC9A8,TGFB1"
MicroRNA Biogenesis Signaling Pathway,3.43,0.198,-0.164,-0.56252,"AGO2,AGO4,AKT1,BMP4,DBR1,DIS3L,EGFR,ESR2,EXOSC7,HSP90B1,MAPK13,MYC,NDC1,NUP160,NUP188,NUP214,NUP42,NUP50,NUP62,NUP93,PIK3C2B,PIK3R1,PIK3R3,PIWIL2,POLR2C,POLR2L,POLR3D,RAN,RAP1A,RASD1,RRAS,SRSF3,TGFB1,TGFB3,TP53,XPO5,ZC3H12A"
Transcriptional regulation by RUNX1,0.605,0.132,-0.894,-0.54087,"AXIN1,ELF1,GATA2,GATA3,H2AC6,HIPK2,KCTD6,MNAT1,PBRM1,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,SMARCA4,SOCS4,TCF3"
Cohesin Chromatin Regulation Pathway,0.399,0.118,-1.347,-0.537453,"ANAPC1,ANAPC11,ANAPC4,BBC3,CCNB3,CTCF,ESCO2,H2AC6,MACROH2A1,MED11,MED24,MED7,MYC,NCAPG,NCAPH2,PCDH9,PCDHGA2,PCDHGA4,PCDHGB1,PCDHGB2,POLR2C,POLR2L,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,PTGER4,SMC1A,SMC2,TERF1"
Cellular response to hypoxia,0.322,0.118,-1.667,-0.536774,"ARNT,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4"
Nucleosome assembly,0.759,0.163,-0.707,-0.536613,"CENPH,CENPI,CENPL,CENPM,CENPO,CENPT,H2AC6,RBBP4"
MAPK6/MAPK4 signaling,1.61,0.185,-0.333,-0.53613,"AGO2,AGO4,CCND3,KALRN,MAPKAPK5,MMP10,MYC,PAK1,PRKACB,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4"
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza,1.91,0.196,-0.277,-0.52907,"AREG,CCL2,IFIT2,IFIT3,IFNAR1,IL1A,IL1B,IRF3,ISG15,MX1,NFKB2,OAS1,OAS2,OAS3,TICAM1,TLR3,TLR4,TLR7"
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression,0.647,0.162,-0.816,-0.527952,"CHD3,H2AC6,HDAC1,MBD3,MTA1,RBBP4"
"Incretin synthesis, secretion, and inactivation",0.52,0.16,-1,-0.52,"CTNNB1,FFAR4,GNB1,SPCS2"
RHOGDI Signaling,0.485,0.123,-1.069,-0.518465,"ARHGEF1,ARHGEF2,ARHGEF3,ARPC4,CDH11,CDH20,CDH24,ESR2,GNAI1,GNB1,GNG11,ITGAE,ITGB3,ITGB6,ITGB8,MSN,MYL12A,MYL12B,MYO10,MYO18A,PAK1,RHOBTB1,RHOBTB2,RHOC,RHOJ,RHOT1,RND3"
Regulation of CDH11 Expression and Function,1.36,0.233,-0.378,-0.51408,"ADAM19,AGO2,AGO4,CDH11,CDH24,CTNNA1,CTNNB1"
Metabolism of steroid hormones,0.377,0.132,-1.342,-0.505934,"AKR1B1,HSD17B12,STARD3,STARD4,STS"
Branched-chain amino acid catabolism,1.12,0.238,-0.447,-0.50064,"ACADSB,BCAT2,BCKDHB,HIBADH,HSD17B10"
Regulation of TP53 Expression and Degradation,0.611,0.158,-0.816,-0.498576,"AKT1,MAPKAP1,PPP2R1B,PRR5L,RNF34,TP53"
Oncogene Induced Senescence,1.06,0.2,-0.447,-0.47382,"AGO4,CDK4,E2F3,ETS1,RB1,TFDP1,TP53"
MyD88:MAL(TIRAP) cascade initiated on plasma membrane,1.41,0.214,-0.333,-0.46953,"CD14,ECSIT,IRAK2,MAP3K1,PELI1,TLR1,TLR4,TLR6,UBE2V1"
Class I MHC mediated antigen processing and presentation,3.49,0.171,-0.124,-0.43276,"ANAPC1,ANAPC11,ANAPC4,ASB1,ASB13,ASB18,ASB8,ASB9,BECN1,CANX,CD14,CDC34,CTSS,CYBB,ERAP2,FBXL3,FBXO11,FBXO32,FBXO41,FBXO9,GAN,HERC4,HERC5,HERC6,HLA-B,HSPA5,KCTD6,KCTD7,KEAP1,LNX1,LRR1,LRSAM1,MEX3C,MGRN1,MRC2,NEDD4L,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,RBCK1,RNF114,RNF144B,RNF182,RNF19A,RNF217,RNF34,SEC24C,SEC61A2,SIAH2,SMURF2,TLR1,TLR4,TLR6,TRAF7,TRIM21,UBE2E2,UBE2J1,UBE2R2,UBE2V1,UBR4"
Cargo concentration in the ER,1.11,0.206,-0.378,-0.41958,"AREG,CNIH1,CNIH3,F8,FOLR1,LMAN1,SEC24C"
Transcriptional Regulation by E2F6,1.11,0.206,-0.378,-0.41958,"CDC7,E2F6,EPC1,L3MBTL2,RBBP4,RRM2,TFDP1"
HIF1α Signaling,2.48,0.176,-0.169,-0.41912,"ADRA1B,AKT1,ARNT,BRAF,CAMK4,CDKN1A,CHP1,CYBB,EDN1,EIF4EBP1,HSPA5,KDR,MAP2K1,MAP2K6,MAP2K7,MMP1,MMP10,MMP16,PDGFC,PIK3C2B,PIK3R1,PIK3R3,PKM,PPP3CA,PPP3CC,PRKCD,PRKCI,RACK1,RAN,RAP1A,RASD1,RRAS,SAT1,SERPINE1,SLC2A1,TGFB1,TP53"
